Pysics,Science,Statistics,Math
64,67,69,68
74,74,63,67
60,59,55,57
84,88,89,91
80,88,78,82
75,68,68,63
66,59,55,65
77,71,66,73
70,71,60,67
89,84,80,85
73,76,69,82
78,74,63,67
67,63,67,57
80,81,83,74
72,75,73,83
68,63,76,71
81,89,80,85
64,66,59,69
79,81,79,87
70,76,69,71
76,80,68,80
71,64,75,66
81,77,84,73
85,83,87,90
61,67,70,61
74,71,75,73
85,82,78,84
60,60,57,52
83,88,80,92
85,80,76,87
84,86,86,80
82,79,88,83
68,66,60,71
89,85,88,91
85,90,85,98
68,66,62,61
74,76,82,77
76,75,84,81
62,68,70,60
64,67,68,73
65,66,59,58
64,57,56,57
73,74,63,69
65,65,69,69
87,91,97,97
62,60,61,57
77,69,62,70
77,76,75,70
89,97,94,99
63,56,59,62
74,69,62,75
72,67,67,67
69,77,81,73
88,86,95,86
77,84,75,87
83,80,77,80
77,77,80,74
84,83,86,87
77,79,69,83
66,74,71,74
74,69,79,75
67,75,78,73
83,85,85,93
72,65,73,69
70,76,73,83
71,70,74,75
89,94,82,86
82,86,85,89
86,80,88,75
85,89,100,97
89,83,79,76
77,74,74,71
79,83,93,89
75,71,79,78
68,66,68,67
64,56,57,58
66,60,55,57
81,76,80,80
68,72,71,79
71,70,75,72
62,54,56,54
80,85,93,85
80,84,86,83
66,62,67,58
73,77,69,74
70,70,71,67
62,55,62,56
62,70,76,76
74,67,65,65
80,83,78,78
90,84,83,90
84,76,78,70
84,87,96,92
78,81,80,78
90,92,81,89
60,68,55,65
86,85,80,93
72,64,59,69
69,63,62,57
44,19,33,83
90,69,48,60
60,32,55,76
86,92,94,72
72,56,59,70
69,83,62,54
44,93,48,85
56,82,55,69
78,86,80,32
45,72,59,92
23,69,62,56
76,78,44,83
33,96,99,93
56,80,78,82
12,81,96,74
87,55,80,69
67,80,81,75
73,59,55,85
62,78,80,65
53,96,59,76
84,80,22,70
68,81,33,94
66,55,68,86
33,80,74,80
97,59,22,89
60,80,34,83
47,81,68,74
84,55,23,74
34,80,87,69
55,59,87,75
68,22,67,85
23,45,56,65
1,67,78,76
28,56,94,70
98,95,86,94
54,75,87,86
87,77,80,80
75,80,74,89
44,86,87,83
